PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
TXL,Reinickendorf,83.6,86.7,34.3,204.6
Heinersdorf,Pankow,93.0,85.4,26.0,204.4
Emdener Straße,Mitte,68.1,59.2,77.1,204.4
Eisenzahnstraße,Charlottenburg-Wilmersdorf,82.8,76.0,45.2,204.0
Koloniestraße,Mitte,56.8,52.4,94.5,203.7
Malmöer Straße,Pankow,73.8,97.0,32.8,203.6
Altstadt Köpenick,Treptow-Köpenick,45.6,84.9,72.9,203.4
Roedeliusplatz,Lichtenberg,82.5,79.9,41.0,203.4
Güterbahnhof Grunewald,Charlottenburg-Wilmersdorf,89.7,90.4,22.5,202.6
Rollberg,Neukölln,42.1,60.9,99.1,202.1
Zittauer Straße,Neukölln,95.9,86.0,20.1,202.0
Rathaus Tempelhof,Tempelhof-Schöneberg,66.6,73.1,62.2,201.9
Eckschanze,Spandau,61.3,56.3,83.8,201.4
Lübarser Straße,Reinickendorf,88.2,75.1,38.0,201.3
Boulevard Kastanienallee,Marzahn-Hellersdorf,53.1,61.4,86.5,201.0
Gethsemanekirche,Pankow,71.4,90.8,38.4,200.6
Wartenberg Süd,Lichtenberg,47.0,78.6,74.7,200.3
Senefelderstraße,Pankow,70.1,91.3,38.7,200.1
Blumenviertel,Neukölln,97.6,84.5,17.9,200.0
Wittekindstraße,Tempelhof-Schöneberg,75.8,66.2,57.4,199.4
Hausburgviertel,Friedrichshain-Kreuzberg,69.6,86.2,43.4,199.2
Unter den Linden,Mitte,85.4,99.3,14.2,198.9
Oranienburger Straße,Mitte,80.8,92.6,25.1,198.5
Klausenerplatz,Charlottenburg-Wilmersdorf,57.2,62.5,78.8,198.5
Dörpfeldstraße West,Treptow-Köpenick,82.7,68.8,46.9,198.4
Uferstraße,Mitte,60.5,42.1,95.4,198.0
Drontheimer Straße,Mitte,51.1,52.2,94.6,197.9
Weiße Taube,Lichtenberg,98.2,95.6,4.1,197.9
Wista,Treptow-Köpenick,92.8,98.3,6.3,197.4
Eddastraße,Pankow,91.1,82.5,23.1,196.7
Gartenfelder Straße,Spandau,67.0,46.7,82.7,196.4
Waltersdorfer Chaussee Ost,Neukölln,80.3,71.8,44.3,196.4
Mahlsdorf Nord,Marzahn-Hellersdorf,99.6,88.9,7.6,196.1
Ostseestraße,Pankow,78.8,71.4,44.6,194.8
Wartenberg Nord,Lichtenberg,45.4,78.0,71.4,194.8
Gut Hellersdorf,Marzahn-Hellersdorf,55.9,65.1,73.4,194.4
Schwedenstraße,Mitte,47.8,51.3,95.0,194.1
Braunschweiger Straße,Neukölln,49.8,53.0,90.6,193.4
Lausitzer Platz,Friedrichshain-Kreuzberg,51.8,53.1,88.4,193.3
Hertzbergplatz,Neukölln,37.8,68.5,86.7,193.0
Ackerstraße,Spandau,59.4,52.0,80.8,192.2
Letteplatz,Reinickendorf,71.2,37.8,83.0,192.0
Bärenstein,Marzahn-Hellersdorf,70.7,66.1,54.4,191.2
Askanischer Platz,Friedrichshain-Kreuzberg,39.1,53.7,98.2,191.0
Schloßstraße,Charlottenburg-Wilmersdorf,67.7,76.6,46.7,191.0
Wuhletalstraße,Marzahn-Hellersdorf,46.7,64.8,79.3,190.8
Antonstraße,Mitte,48.2,47.4,95.2,190.8
Karow Ost,Pankow,94.5,91.7,4.6,190.8
Pettenkofer Straße,Friedrichshain-Kreuzberg,54.2,93.0,42.6,189.8
Blankenburger Süden,Pankow,94.3,92.1,3.0,189.4
Park am Buschkrug,Neukölln,39.3,57.4,91.9,188.6
Lübecker Straße,Mitte,48.7,47.0,92.8,188.5
Isenburger Weg,Spandau,97.0,87.5,3.7,188.2
Falkplatz,Pankow,74.0,90.2,23.8,188.0
Tempelhofer Weg,Neukölln,45.0,56.6,85.8,187.4
Köllnische Vorstadt,Treptow-Köpenick,57.6,62.9,66.4,186.9
Späthsfelde,Treptow-Köpenick,88.4,91.9,6.5,186.8
Marzahner Promenade,Marzahn-Hellersdorf,46.1,74.9,65.7,186.7
Charitéviertel,Mitte,81.7,97.2,7.7,186.6
Moritzplatz,Friedrichshain-Kreuzberg,50.6,38.9,97.0,186.5
Kaulsdorf Nord,Marzahn-Hellersdorf,96.5,78.2,11.8,186.5
Waßmannsdorfer Chaussee,Neukölln,90.0,77.3,18.6,185.9
Londoner Straße,Mitte,64.0,40.2,81.0,185.2
Westerwaldstraße,Spandau,53.3,37.1,94.8,185.2
Rathaus Yorckstraße,Friedrichshain-Kreuzberg,49.4,60.0,75.8,185.2
Auersbergstraße,Marzahn-Hellersdorf,64.6,65.7,54.8,185.1
Zwinglistraße,Mitte,43.7,54.1,87.3,185.1
Rosenfelder Ring,Lichtenberg,53.5,67.0,63.7,184.2
