PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Großer Tiergarten,Mitte,8.154,5.0,1.247,5.4
Karlshorst Süd,Lichtenberg,3.223,39.3,1.252,5.2
Dahlem,Steglitz-Zehlendorf,4.908,14.4,1.254,5.0
Karow Bahnhof,Pankow,2.092,79.5,1.279,4.8
Karow Ost,Pankow,1.616,91.7,1.28,4.6
Kaulsdorf Süd,Marzahn-Hellersdorf,3.336,35.8,1.298,4.4
Konradshöhe/Tegelort,Reinickendorf,5.176,12.5,1.3,4.2
Weiße Taube,Lichtenberg,1.34,95.6,1.301,4.1
Müggelheim,Treptow-Köpenick,10.621,3.0,1.302,3.9
Isenburger Weg,Spandau,1.799,87.5,1.31,3.7
Dörfer Malchow-Wartenberg,Lichtenberg,2.486,64.6,1.348,3.5
Hüttenweg,Steglitz-Zehlendorf,13.651,0.6,1.351,3.3
Kladower Damm,Spandau,2.068,80.6,1.354,3.1
Blankenburger Süden,Pankow,1.604,92.1,1.358,3.0
Blankenburg,Pankow,2.25,73.2,1.358,2.8
Krumme Lanke,Steglitz-Zehlendorf,13.521,0.7,1.365,2.6
Thielallee,Steglitz-Zehlendorf,3.448,32.7,1.38,2.4
Kafkastraße,Spandau,5.013,13.8,1.388,2.2
Jägerallee,Spandau,4.256,19.0,1.396,2.0
Wendenschloß,Treptow-Köpenick,3.572,29.7,1.408,1.8
Pilgramer Straße,Marzahn-Hellersdorf,2.222,74.7,1.412,1.7
Elsensee,Marzahn-Hellersdorf,1.895,85.6,1.412,1.5
Oberfeldstraße,Marzahn-Hellersdorf,2.354,70.1,1.427,1.3
Biesdorf Süd,Marzahn-Hellersdorf,3.302,37.5,1.438,1.1
Messelpark,Charlottenburg-Wilmersdorf,7.37,6.3,1.446,0.9
Eichkamp,Charlottenburg-Wilmersdorf,12.968,1.1,1.476,0.7
Olympiagelände,Charlottenburg-Wilmersdorf,7.092,7.0,1.476,0.6
Karolinenhof,Treptow-Köpenick,7.559,5.5,1.525,0.4
Märchenland,Pankow,1.734,89.5,1.534,0.2
