PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Branitzer Platz,Charlottenburg-Wilmersdorf,27.9,34.3,62.2,27.7
Erieseering,Lichtenberg,34.9,26.6,61.5,61.8
Barstraße,Charlottenburg-Wilmersdorf,27.1,34.1,61.2,55.9
Taunusstraße,Tempelhof-Schöneberg,36.2,24.9,61.1,18.3
Thälmannpark,Pankow,22.5,38.6,61.1,72.5
Gropiusstadt Nord-West,Neukölln,29.9,30.3,60.2,89.1
Gropiusstadt Süd-Ost,Neukölln,32.1,27.1,59.2,92.4
Schleipfuhl,Marzahn-Hellersdorf,23.1,35.4,58.5,70.5
Wittelsbacherstraße,Tempelhof-Schöneberg,48.0,10.0,58.0,9.8
Graefekiez Nord,Friedrichshain-Kreuzberg,25.6,32.1,57.7,76.6
Blankenfelde,Pankow,29.2,28.4,57.6,8.9
Südende,Steglitz-Zehlendorf,31.7,25.3,57.0,35.8
Alt-Biesdorf,Marzahn-Hellersdorf,31.5,25.5,57.0,9.6
Urbanstraße,Friedrichshain-Kreuzberg,23.6,33.2,56.8,67.0
Michelangelostraße,Pankow,26.6,30.1,56.7,65.1
Volkspark Prenzlauer Berg,Pankow,30.6,25.6,56.2,82.1
Eisenacher Straße,Tempelhof-Schöneberg,28.4,27.7,56.1,69.7
Lindenhofsiedlung,Tempelhof-Schöneberg,23.8,32.3,56.1,64.9
Wittenau Nord,Reinickendorf,36.9,19.2,56.1,28.6
Hufeisensiedlung,Neukölln,36.0,19.9,55.9,64.8
Hermsdorf Ost/Waldsee,Reinickendorf,34.5,20.5,55.0,10.5
Preußen Siedlung,Treptow-Köpenick,33.4,21.0,54.4,11.3
Orankesee,Lichtenberg,29.5,24.4,53.9,7.4
Neu Westend,Charlottenburg-Wilmersdorf,29.7,24.2,53.9,22.3
Barbarossaplatz,Tempelhof-Schöneberg,29.3,24.5,53.8,51.5
Landsberger Tor,Marzahn-Hellersdorf,21.0,32.8,53.8,42.1
Graetschelsteig,Spandau,20.7,33.0,53.7,74.9
Horstwalder Straße,Tempelhof-Schöneberg,38.4,15.1,53.5,33.8
Am Forstacker,Spandau,26.0,27.5,53.5,70.8
Zehlendorf Süd,Steglitz-Zehlendorf,21.8,31.2,53.0,55.2
Jägerallee,Spandau,32.8,19.0,51.8,2.0
Treuenbrietzener Straße,Reinickendorf,22.1,29.2,51.3,95.6
Mittelstraße,Steglitz-Zehlendorf,31.4,19.4,50.8,39.7
Großgörschenstraße,Tempelhof-Schöneberg,17.9,31.0,48.9,91.1
Falkenberg Ost,Lichtenberg,17.7,30.8,48.5,83.9
Humboldtstraße,Reinickendorf,25.8,22.7,48.5,62.4
Lietzensee,Charlottenburg-Wilmersdorf,16.6,31.7,48.3,43.7
Wilhelmsaue,Charlottenburg-Wilmersdorf,25.1,22.9,48.0,26.6
Glasgower Straße,Mitte,22.0,26.0,48.0,81.2
Königsberger Straße,Steglitz-Zehlendorf,26.9,20.7,47.6,29.7
Ziekowstraße/Freie Scholle,Reinickendorf,31.9,15.7,47.6,39.5
Teltower Damm,Steglitz-Zehlendorf,35.8,11.4,47.2,11.6
Alt-Heiligensee,Reinickendorf,20.1,26.9,47.0,9.2
Friedenstraße,Friedrichshain-Kreuzberg,23.4,23.4,46.8,47.8
Immanuelkirchstraße,Pankow,16.1,29.9,46.0,20.7
Spindlersfeld,Treptow-Köpenick,24.5,21.4,45.9,40.4
Stephankiez,Mitte,22.7,22.1,44.8,79.5
Wittenau Mitte,Reinickendorf,33.6,10.9,44.5,58.9
Prinzenstraße,Friedrichshain-Kreuzberg,26.2,18.3,44.5,96.9
Reichenberger Straße Ost,Friedrichshain-Kreuzberg,14.9,29.5,44.4,82.3
Baumschulenweg Ost,Treptow-Köpenick,19.6,24.0,43.6,41.9
Fennpfuhlpark,Lichtenberg,11.1,31.9,43.0,48.7
Baumschulenweg West,Treptow-Köpenick,19.4,23.1,42.5,41.7
Tirschenreuther Ring West,Tempelhof-Schöneberg,19.7,22.5,42.2,74.2
Volkradstraße,Lichtenberg,27.5,14.6,42.1,62.0
Paul-Hertz-Siedlung,Charlottenburg-Wilmersdorf,19.0,22.3,41.3,89.9
Zehlendorf Mitte,Steglitz-Zehlendorf,24.4,16.4,40.8,24.2
Märkisches Zentrum,Reinickendorf,15.1,25.1,40.2,85.6
Fichtenberg,Steglitz-Zehlendorf,24.9,15.3,40.2,10.0
Breitkopfbecken,Reinickendorf,22.3,17.9,40.2,83.2
Zillesiedlung,Mitte,21.2,18.6,39.8,98.9
Dahlem,Steglitz-Zehlendorf,25.3,14.4,39.7,5.0
Komponistenviertel Lankwitz,Steglitz-Zehlendorf,23.2,16.1,39.3,21.4
Botanischer Garten,Steglitz-Zehlendorf,21.4,17.7,39.1,19.0
Karower Chaussee,Pankow,20.3,18.8,39.1,75.1
Wendenschloß,Treptow-Köpenick,9.4,29.7,39.1,1.8
Thermometersiedlung,Steglitz-Zehlendorf,17.2,21.8,39.0,67.5
Kafkastraße,Spandau,24.7,13.8,38.5,2.2
Britzer Garten,Neukölln,17.3,21.2,38.5,50.2
Schlosspark,Pankow,20.8,16.2,37.0,27.1
Hansaviertel,Mitte,17.0,19.6,36.6,44.8
Pillnitzer Weg,Spandau,18.5,17.5,36.0,90.0
Gropiusstadt Süd-West,Neukölln,18.6,17.2,35.8,76.0
Wassertorplatz,Friedrichshain-Kreuzberg,11.8,23.6,35.4,99.3
Körnerpark,Neukölln,15.9,18.5,34.4,96.7
Zingster Straße Ost,Lichtenberg,14.6,19.7,34.3,78.6
Humboldthain Süd,Mitte,19.2,14.9,34.1,76.8
Rudolf-Wissell-Großsiedlung,Spandau,12.2,21.6,33.8,91.0
Weißer See,Pankow,13.3,20.3,33.6,29.5
Dannenwalder Weg,Reinickendorf,18.1,15.5,33.6,90.8
Schäfersee,Reinickendorf,14.0,18.1,32.1,68.5
Schillerpromenade Nord,Neukölln,11.3,20.8,32.1,89.7
Silbersteinstraße,Neukölln,14.4,17.3,31.7,96.3
Schlossgarten,Charlottenburg-Wilmersdorf,12.4,16.8,29.2,88.7
Alt-Tegel,Reinickendorf,16.4,12.7,29.1,33.9
Amorbacher Weg,Spandau,16.8,12.2,29.0,54.6
Bismarckallee,Charlottenburg-Wilmersdorf,14.8,13.3,28.1,28.8
Kameruner Straße,Mitte,12.0,15.9,27.9,81.7
Fischerhüttenstraße,Steglitz-Zehlendorf,17.5,9.4,26.9,12.5
Tegel Süd,Reinickendorf,13.7,13.1,26.8,84.5
Bucher Forst,Pankow,15.3,10.7,26.0,57.2
Dolgenseestraße,Lichtenberg,14.2,11.8,26.0,61.6
Parchimer Allee Süd,Neukölln,15.7,9.6,25.3,64.6
Konradshöhe/Tegelort,Reinickendorf,12.5,12.5,25.0,4.2
Schillerpark,Mitte,13.5,11.3,24.8,81.4
Frohnau West,Reinickendorf,16.2,8.5,24.7,5.7
Parkstraße,Pankow,12.7,11.1,23.8,26.9
Hindenburgdamm,Steglitz-Zehlendorf,9.6,14.2,23.8,36.3
Soldiner Straße,Mitte,11.6,12.0,23.6,94.3
Börnicker Straße,Spandau,6.5,17.0,23.5,13.3
Landweg,Steglitz-Zehlendorf,10.0,13.5,23.5,67.3
Gropiusstadt Mitte,Neukölln,9.8,12.4,22.2,92.6
Dörpfeldstraße Ost,Treptow-Köpenick,13.1,8.9,22.0,47.0
Böhlener Straße,Marzahn-Hellersdorf,7.6,14.0,21.6,86.2
Hagenplatz,Charlottenburg-Wilmersdorf,12.9,8.7,21.6,12.4
Tiefwerder,Spandau,7.7,13.7,21.4,88.9
Ahrensfelder Berge,Marzahn-Hellersdorf,6.1,14.8,20.9,72.7
Wartheplatz,Neukölln,7.9,12.9,20.8,96.1
Jungfernheide/Plötzensee,Charlottenburg-Wilmersdorf,10.9,9.8,20.7,79.7
Stadtpark,Steglitz-Zehlendorf,8.9,11.6,20.5,38.9
Hansastraße,Pankow,11.4,9.0,20.4,53.7
Hermsdorf West,Reinickendorf,13.8,6.5,20.3,10.3
Alt-Treptow,Treptow-Köpenick,10.3,9.2,19.5,50.4
Fischtal,Steglitz-Zehlendorf,10.7,7.6,18.3,12.2
Döberitzer Weg,Spandau,10.5,7.7,18.2,11.1
Klinikum Buch,Pankow,10.1,8.1,18.2,73.1
Munsterdamm,Steglitz-Zehlendorf,7.4,10.5,17.9,42.3
Hirschgarten,Treptow-Köpenick,7.2,10.3,17.5,31.5
Afrikanische Straße,Mitte,8.1,8.3,16.4,81.5
Barnimkiez,Friedrichshain-Kreuzberg,5.9,10.1,16.0,60.7
Schönholz,Pankow,8.5,7.2,15.7,8.5
Messelpark,Charlottenburg-Wilmersdorf,9.0,6.3,15.3,0.9
Komponistenviertel Weißensee,Pankow,9.2,5.9,15.1,35.6
Alt-Gatow,Spandau,8.3,6.6,14.9,12.7
Johannisthal West,Treptow-Köpenick,6.8,7.9,14.7,33.6
Flatowallee,Charlottenburg-Wilmersdorf,7.0,7.4,14.4,6.1
Waidmannslust,Reinickendorf,8.7,5.2,13.9,21.8
Olympiagelände,Charlottenburg-Wilmersdorf,6.3,7.0,13.3,0.6
Rohrdamm,Spandau,6.6,6.1,12.7,69.4
Tierpark,Lichtenberg,5.7,5.7,11.4,66.1
Kranzallee,Charlottenburg-Wilmersdorf,5.0,5.4,10.4,26.2
Großer Tiergarten,Mitte,5.2,5.0,10.2,5.4
Hasenheide,Neukölln,3.3,6.8,10.1,100.0
Dammheide,Treptow-Köpenick,5.4,4.6,10.0,14.6
Karolinenhof,Treptow-Köpenick,4.2,5.5,9.7,0.4
Griesingerstraße,Spandau,4.8,4.4,9.2,78.4
Angerburger Allee,Charlottenburg-Wilmersdorf,4.4,4.2,8.6,37.6
Plänterwald Ost,Treptow-Köpenick,5.5,2.8,8.3,53.1
Siedlung Kämmereiheide,Treptow-Köpenick,4.1,3.9,8.0,24.5
Wuhlheide,Treptow-Köpenick,3.1,4.8,7.9,64.2
Waldidyll/Flughafensee,Reinickendorf,3.7,3.3,7.0,34.5
Heiligensee Nord,Reinickendorf,3.9,2.0,5.9,9.0
Frohnau Ost,Reinickendorf,4.6,1.3,5.9,5.5
Düppel,Steglitz-Zehlendorf,3.5,2.2,5.7,35.2
Kietzer Feld/Nachtheide,Treptow-Köpenick,1.3,4.1,5.4,43.5
Müggelheim,Treptow-Köpenick,2.4,3.0,5.4,3.9
Grünau,Treptow-Köpenick,2.6,2.6,5.2,13.7
Mittelheide,Treptow-Köpenick,3.0,1.8,4.8,14.8
Wannsee,Steglitz-Zehlendorf,0.9,3.7,4.6,6.6
Nikolassee,Steglitz-Zehlendorf,1.5,3.1,4.6,7.2
Alt-Friedrichshagen,Treptow-Köpenick,2.0,2.4,4.4,14.0
Schmöckwitz/Rauchfangswerder,Treptow-Köpenick,0.4,3.5,3.9,6.8
Rahnsdorf,Treptow-Köpenick,1.8,1.7,3.5,8.3
Hüttenweg,Steglitz-Zehlendorf,2.8,0.6,3.4,3.3
Hakenfelde Nord,Spandau,2.2,0.9,3.1,51.1
Krumme Lanke,Steglitz-Zehlendorf,1.7,0.7,2.4,2.6
Allende II,Treptow-Köpenick,0.2,1.5,1.7,21.0
Eichkamp,Charlottenburg-Wilmersdorf,0.6,1.1,1.7,0.7
Hundekehle,Charlottenburg-Wilmersdorf,1.1,0.4,1.5,17.7
Heiligensee,Reinickendorf,0.7,0.2,0.9,9.4
