PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Kaulsdorf Nord,Marzahn-Hellersdorf,96.5,78.2,174.7,11.8
Mohriner Allee Nord,Neukölln,89.9,84.1,174.0,47.4
Eddastraße,Pankow,91.1,82.5,173.6,23.1
Oranienburger Straße,Mitte,80.8,92.6,173.4,25.1
Königin-Elisabeth-Straße,Charlottenburg-Wilmersdorf,78.2,94.6,172.8,45.0
Traveplatz,Friedrichshain-Kreuzberg,87.1,85.2,172.3,52.6
Borkumer Straße,Spandau,85.1,87.1,172.2,60.5
Marzahner Chaussee,Marzahn-Hellersdorf,83.4,88.7,172.1,45.4
Dorf Altglienicke,Treptow-Köpenick,90.2,81.7,171.9,10.9
Malmöer Straße,Pankow,73.8,97.0,170.8,32.8
TXL,Reinickendorf,83.6,86.7,170.3,34.3
Schillerpromenade Süd,Neukölln,76.2,94.1,170.3,89.5
Elsensee,Marzahn-Hellersdorf,84.5,85.6,170.1,1.5
Buckow West,Neukölln,95.6,74.2,169.8,46.3
Buckow Ost,Neukölln,92.4,76.8,169.2,72.3
Schulenburgpark,Neukölln,81.0,88.0,169.0,99.8
Behaimstraße,Pankow,90.6,77.7,168.3,48.2
Hohenfriedbergstraße,Tempelhof-Schöneberg,77.5,89.9,167.4,59.4
Waßmannsdorfer Chaussee,Neukölln,90.0,77.3,167.3,18.6
Karow Bahnhof,Pankow,87.8,79.5,167.3,4.8
Große-Leege-Straße,Lichtenberg,91.5,75.5,167.0,53.5
Buckow Mitte,Neukölln,87.6,79.0,166.6,60.1
Donaustraße,Neukölln,78.0,87.8,165.8,96.5
Rathaus Weißensee,Pankow,88.9,76.9,165.8,56.6
Freiheit,Spandau,77.3,88.4,165.7,80.4
Pilgramer Straße,Marzahn-Hellersdorf,91.0,74.7,165.7,1.7
Spreestadt,Charlottenburg-Wilmersdorf,68.3,95.9,164.2,79.0
Falkplatz,Pankow,74.0,90.2,164.2,23.8
Blankenburg,Pankow,90.8,73.2,164.0,2.8
Weißenseer Spitze,Pankow,88.0,75.8,163.8,43.9
Victoriastadt,Lichtenberg,73.6,90.0,163.6,55.7
Lübarser Straße,Reinickendorf,88.2,75.1,163.3,38.0
Marzahn West,Marzahn-Hellersdorf,76.6,86.5,163.1,84.1
Weiße Siedlung,Neukölln,80.1,82.7,162.8,99.6
Oberfeldstraße,Marzahn-Hellersdorf,92.6,70.1,162.7,1.3
Griechischer Park,Treptow-Köpenick,70.3,92.4,162.7,64.4
Richard-Wagner-Straße,Charlottenburg-Wilmersdorf,81.2,81.2,162.4,69.9
Roedeliusplatz,Lichtenberg,82.5,79.9,162.4,41.0
Gethsemanekirche,Pankow,71.4,90.8,162.2,38.4
Mertensstraße,Spandau,72.7,89.3,162.0,56.8
Alt-Kaulsdorf,Marzahn-Hellersdorf,89.5,72.3,161.8,22.0
Senefelderstraße,Pankow,70.1,91.3,161.4,38.7
Cheruskerstraße,Tempelhof-Schöneberg,77.7,83.6,161.3,59.2
Karl-August-Platz,Charlottenburg-Wilmersdorf,79.7,81.4,161.1,55.5
Wilhelmsruh,Pankow,86.5,73.4,159.9,13.8
Teutoburger Platz,Pankow,76.4,82.8,159.2,19.6
Eisenzahnstraße,Charlottenburg-Wilmersdorf,82.8,76.0,158.8,45.2
Birnhornweg,Tempelhof-Schöneberg,95.0,63.7,158.7,12.0
Gesundbrunnen,Mitte,78.4,80.3,158.7,87.5
Adele-Sandrock-Straße,Marzahn-Hellersdorf,74.2,83.8,158.0,49.8
Körnerstraße,Mitte,77.1,80.1,157.2,87.1
Hausburgviertel,Friedrichshain-Kreuzberg,69.6,86.2,155.8,43.4
Cecilienplatz,Marzahn-Hellersdorf,74.7,80.4,155.1,58.5
Uhlandstraße,Pankow,83.0,72.0,155.0,17.3
Wilhelmstadt West,Spandau,81.5,72.9,154.4,75.6
Gontermannstraße,Tempelhof-Schöneberg,78.6,75.3,153.9,54.2
Flughafenstraße,Neukölln,68.6,84.7,153.3,95.9
Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,58.9,94.3,153.2,60.9
Rosenthal,Pankow,86.3,66.8,153.1,12.9
Kyritzer Straße,Marzahn-Hellersdorf,70.8,82.3,153.1,73.6
Scharnweberstraße,Reinickendorf,84.3,68.6,152.9,84.7
Kettinger Straße,Tempelhof-Schöneberg,94.6,57.6,152.2,23.4
Waltersdorfer Chaussee Ost,Neukölln,80.3,71.8,152.1,44.3
Mehringplatz,Friedrichshain-Kreuzberg,72.3,79.3,151.6,97.8
Dörpfeldstraße West,Treptow-Köpenick,82.7,68.8,151.5,46.9
Christburger Straße,Pankow,63.7,87.6,151.3,20.8
Westliche Müllerstraße,Mitte,76.8,74.5,151.3,84.3
Ganghoferstraße,Neukölln,74.9,76.2,151.1,90.2
George-Grosz-Platz,Charlottenburg-Wilmersdorf,71.8,79.2,151.0,32.3
Ostseestraße,Pankow,78.8,71.4,150.2,44.6
John-Locke-Straße,Tempelhof-Schöneberg,87.5,62.7,150.2,71.0
Frankfurter Allee Süd,Lichtenberg,80.4,69.7,150.1,68.6
Ernst-Reuter-Platz,Charlottenburg-Wilmersdorf,66.4,81.9,148.3,75.3
Arnold-Zweig-Straße,Pankow,81.4,66.4,147.8,30.8
Savignyplatz,Charlottenburg-Wilmersdorf,72.1,75.6,147.7,28.4
Pettenkofer Straße,Friedrichshain-Kreuzberg,54.2,93.0,147.2,42.6
Ringstraße,Tempelhof-Schöneberg,69.7,77.1,146.8,67.9
Beusselkiez,Mitte,71.6,74.4,146.0,93.5
Johannisthal Ost,Treptow-Köpenick,82.3,63.1,145.4,30.3
Diedersdorfer Weg,Tempelhof-Schöneberg,74.4,70.8,145.2,74.0
Goldhähnchenweg,Neukölln,77.9,67.2,145.1,70.1
